% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 12 2022, 15:04"
% Table,"Table 1 - Pol, SM_only"
% L_junc (nH),Eigenfrequency (GHz),zz (1),yz (1),xz (1)
9.035,6.448180940240949+2.2628838509022176E-5i,0.24691742902679417,0.22847976118052793,0.4776751011232334
9.035,6.44821747100183+4.3567371729770737E-4i,0.010557600555099298,0.9638081447748538,0.015736687551302725
9.035,6.448353178283586+0.006723285948722974i,0.057945609824232955,5.632971988807705E-4,0.9384725235042212
9.035,6.4485645655448955+2.3249525394079735E-6i,0.10895076922567837,0.0013914989370422109,0.8875412007660631
9.035,6.4486875900105805+1.1250890886702797E-5i,0.00205069388280299,0.9877995359219501,0.0020108713948512724
9.035,6.448771334950975+2.555965681883619E-6i,0.11918422384954434,0.08940657641645611,0.7271678659133416
9.035,6.448810249428274+0.004378330272313726i,0.4007576457686929,0.003979747425865535,0.5930247809587149
9.035,6.4489713428995765+0.002987648971119328i,0.013473441618476323,4.7934041970084014E-4,0.9834477995218677
9.035,6.449229519538192+0.003978640686560798i,0.7414659493854399,0.007161279504108051,0.2495706417287578
9.035,6.449317457827151+4.7899169432594045E-6i,0.07335984714088367,0.6744492101414659,0.19986817435341012
9.035,6.449626514262304+3.64175442111304E-6i,0.06443223398321177,0.054710524034216244,0.8143879060186995
9.035,6.449707752542482+0.0039033065120184026i,0.32323824383248895,0.00359737183363406,0.6706016871612832
9.035,6.449713091841805+2.9843344314219757E-6i,0.35284001678460264,0.004751835869080118,0.6381273039356502
9.035,6.449758412513967+3.748669910714535E-5i,0.06813180573662793,0.09097012715675912,0.7937537180919805
9.035,6.44985044332333+1.2070803031700387E-5i,0.3094201100541284,0.21827255625533454,0.4182095702069839
9.035,6.449961830073482+4.068962678162478E-5i,0.39488356446433537,0.030501858834190106,0.559088468421424
9.035,6.450125645424968+9.513507177215028E-5i,0.3261943852350038,0.01825598881473301,0.6427573372633214
9.035,6.450173526425128+3.1180515352420692E-6i,0.5779086123394144,0.03556095103462522,0.3735400197256086
9.035,6.450227498845126+8.771325682781714E-6i,0.414970846901719,0.0959079387878411,0.4533246142232496
9.035,6.45043142190708+6.827328243633534E-4i,0.009476279597647066,0.9655864510634626,0.012523112865251443
9.035,6.450546496935304+1.0997875170758576E-5i,0.8617677751187628,0.002149579078201302,0.13364922815218003
9.035,6.450859838533159+0.0013093322562282377i,0.03185966070903795,8.964327168035006E-4,0.9614537112739661
9.035,6.451033960831455+1.959793355289549E-4i,0.17272471682954085,0.012756273501382911,0.8043825790371073
9.035,6.45112005810541+0.0038801670044166874i,0.07876125762688775,5.180322598098319E-4,0.9166119065939224
9.035,6.451295269859596+0.0015251714452953382i,0.01575213451682303,0.001985282390417488,0.976172985016276
9.035,6.451515353947738+0.0028167593466067345i,0.0317559371466458,8.634332160886365E-4,0.9618084338595408
9.035,6.451703459567788+1.1737741505242227E-4i,0.08838534478375347,0.01644634431885985,0.8861171162992938
9.035,6.451853743444371+0.0012139560709391501i,6.469187876261779E-4,0.9919363706917492,0.0034875235445918085
9.035,6.451883517964573+2.9352043826343236E-5i,0.22682073943783176,0.33399754792547437,0.3755218111140053
9.035,6.452044987093864+2.5313870354819377E-6i,0.04270799235052079,0.8985135140397308,0.030954769304217113
9.035,6.452194422425833+1.3698164665900302E-5i,0.07720430016725376,0.007377602683603385,0.9111122631867665
9.035,6.452220330346841+2.791784346127045E-4i,0.06383613915698724,0.81662437891746,0.08413329966063816
9.035,6.4523651900861685+0.005214315128280979i,0.7087255758195774,0.004775491446494638,0.28459084554604547
9.035,6.4524419876941135+2.0952893036201824E-5i,0.11308325957826336,0.2098329901245728,0.5833497456032194
9.035,6.452465306504919+8.369277430151076E-5i,0.06410919940153102,0.1352810343623713,0.7797001550927725
9.035,6.45263779878736+6.788823594304254E-5i,0.08076832991564661,0.25720933796767925,0.6172779678040107
9.035,6.4527185929525235+2.352727995562876E-5i,0.06960898557108093,0.24568564655580133,0.6313196278592014
9.035,6.452921246617296+8.626304420390058E-6i,0.6720454604652596,0.005293072317386121,0.31879327557743475
9.035,6.452973676212117+1.5671950410593395E-5i,0.11717946794410099,0.03213311428327343,0.834093798099715
