% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 1 2022, 16:48"
% Table,Table 21 - g
% Eigenfrequency (GHz),g (1/s)
6.4400727873145405+8.187810708084692E-4i,7286.321792970782-1854.1649237454874i
6.45074594448049+2.4057370015761903E-4i,-12904.364753482838+20215.59178832823i
6.450817092977732+0.0012657784824934802i,2519.136405636653+9025.030927562919i
6.451049522154363+0.005368588472494088i,-4927.853585815824+4928.050341227043i
6.451082060749345+4.290259605032463E-5i,-13315.341046696056+3040.308902116037i
6.451160058354103+2.5534036601219403E-6i,34298.80176277467-456.49704469847075i
6.451237862539094+0.003799754934447638i,4774.900149232133-7970.669719240583i
6.451261789108141+0.0015336485837706632i,4614.789831069238-316.9447655217457i
6.451376140229207+5.0888632129059395E-5i,-48415.422354980925+63130.40321686777i
6.451457166576217+7.151504778835175E-5i,11983.888409110486+8583.7983814108i
6.45152792055852+0.002802645647828213i,523.4072264145689-2747.127484444432i
6.451622446533073+3.4880564387837495E-5i,-6827.654648399308+5823.351521876502i
6.451748961076276+2.4375802967712015E-5i,14975.440844886882-11219.476670003629i
6.451802058694721+1.5152046370782397E-4i,-44855.7130745609-5463.678771723554i
6.451848105226473+0.001214725173903311i,-8543.835987872171-39465.442491104484i
6.452094092654235+1.5648955691530798E-4i,-3275.2900822511283+1917.7599482403307i
6.452221579619354+1.3472218546933591E-5i,8835.295377203593+4458.349901209225i
6.452305479858135+2.8153416805652926E-5i,2517.7968633883265+2827.5419913929836i
6.45251793448562+6.901007434513948E-5i,-8972.002777918568-2053.23257059784i
6.45263092875474+5.9184141946564706E-5i,-6562.466821452939+9251.943760566646i
6.452911372263005+2.1231458534894454E-4i,-6564.3263503066255-266.53404976435377i
6.452926452607006+1.779128116264491E-5i,3505.0566933295363-2115.5569449235486i
6.453208097802067+1.783851519181509E-5i,-29256.643992999052+4998.078172394783i
6.453377968547196+5.812880778589025E-5i,-5076.784430087238+5103.2720220882675i
6.453503450286255+1.830791048322104E-5i,26282.0758823925+10741.665132188704i
6.453506288191675+0.001098784615904657i,-10478.577011296278+1633.2616128060122i
6.453506569922557+0.00651236548226573i,2703.4414077122938-1315.1561844969337i
6.453647775527018+3.058379986227964E-5i,-19.336798305472712+4767.499765273686i
6.453845146712552+0.0012977872207231907i,273.4487101134771-5344.608081440413i
6.453884948241022+0.005769688886137573i,-1420.2364410392793-797.8842877660211i
6.454166493100334+1.183766131894739E-6i,-65730.40773742978-35358.368321032816i
6.454361709387041+0.0059651453959841515i,-882.3780405599998+780.9384171793595i
6.454531439872219+1.0446197403096178E-4i,11060.030564640232+2954.0801688437923i
6.454550049115156+0.005580591456192861i,4628.945703803116-10971.627415513603i
6.454593874907302+0.0014479492879118279i,-14379.946091235553+6153.977370135262i
6.454899057354852+1.0498708548752002E-4i,-2253.5897481163356-4272.44574413827i
6.454993442393066+5.535854697992551E-6i,75220.56152184842+12177.705473925445i
6.455164144580756+5.026040487971657E-5i,-18612.716634240478-4367.719412808294i
6.455387319568134+4.412770169296295E-5i,-10524.15891244852+1265.4559300685048i
6.4555754289591905+3.407831296648459E-5i,-30220.305052952135-1434.7493936717697i
6.45560837418088+0.0018688765517647994i,441.64169090503214-1374.4350376728926i
6.455806434676575+2.931959315149215E-5i,-27305.793844424014-3763.7850226258715i
6.455823671141803+0.001302030189241941i,6463.874030880893-15809.202407150675i
6.45595585122491+2.479542845244281E-5i,-35240.1264374554-23612.574944289787i
6.455993747677295+0.0018409697714907949i,8078.342306520018+2022.9287608457807i
6.455999738492375+0.006324368726429593i,1362.2874821211558-1868.770816531956i
6.456015407163176+3.19547941247906E-7i,-21246.449486052297+824.3787438190116i
6.456227068607141+0.00149435495894694i,-887.9030180720944-9480.020052685384i
6.456297183634947+1.573089799141341E-5i,21345.968908606006-4204.947986382972i
6.4565411024775115+7.587856139698949E-6i,-11317.64889700899+4289.9507225611205i
6.45655467798293+8.820130652550823E-5i,11942.546715829572-1373.6145196580705i
6.456625626880702+0.0017029305489132355i,-2929.52242246292-9579.783394187709i
6.456725359376629+3.0593475778913564E-4i,-944.5144570564021-1489.2370285534334i
6.456758073401907+6.079264593606203E-6i,11142.326756045295+2360.6990353290475i
6.456805187514617+0.005268308929365458i,952.2682447541745-3541.2572902433576i
6.456861605418123+3.3077607241998796E-6i,-11560.905761265914+679.6782897512762i
6.457264535788385+3.7850818625505833E-6i,-4302.816152184569-136.49518019453996i
6.457368418957054+1.0772695668426116E-6i,-69118.45593629334-2890.8289465191547i
6.457411634324469+0.002027269991425944i,5532.7677577615395+4662.529153147131i
6.457571068348518+1.767432803348808E-5i,-3558.014019835822+881.0647899916642i
6.457640844690995+0.001647959244998467i,13405.055354232572-3671.4287752488176i
6.4577770925954034+2.018294019429903E-7i,791.2528733016362+30.190433469120737i
6.457947356874843+1.680044436075888E-6i,-28369.838891120067+632.2348662768635i
6.458009959489549+1.2318910875455626E-5i,-7597.608138336888+617.2337020832048i
6.458096581638087+3.1045208052719506E-6i,4728.912913652749+334.32800225826617i
