% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 12 2022, 13:12"
% Table,"Table 1 - Pol, SM_only"
% Eigenfrequency (GHz),zz (1),yz (1),xz (1)
6.442406730352247+8.450291244398102E-4i,0.9916665026567079,0.0038725661127643166,0.004079120072086063
6.442554201882111+1.3273351109515726E-5i,0.014859083950696449,0.9470629978633953,0.022524748634938807
6.442602513488393+5.7324497528260515E-6i,0.00674493535631248,0.9707226431463434,0.006858765998353459
6.442785348590203+1.3768019741523455E-6i,0.3840993156598743,0.24243452571164442,0.2724133560896998
6.44292760820118+1.638570132180749E-8i,0.9083391799750242,6.618203943139792E-4,0.09076098789158496
6.443035793571922+0.00219134195689064i,0.007083786292667627,3.302058831247182E-4,0.9788166582618784
6.443173588897421+1.2602846733432891E-5i,0.13454053653130743,0.6732651391798029,0.14407445280506742
6.443177091690502+0.003269902558024457i,0.9820144984905084,0.012001595839631488,0.0050315200140081656
6.443303746043899+9.490858686423433E-6i,0.2025542317078469,0.5658425456037947,0.18562329310698217
6.443538979401153+0.0010812709287775888i,0.9923079832441195,0.0027497007262634594,0.004529171254661094
6.443562533017839+0.0010392424000895482i,0.9914975454968742,0.002640444948875238,0.005449015384391298
6.44363285947272+2.8655611975727716E-8i,0.08847667983314808,2.849263347234727E-4,0.9107844553093739
6.443660926191279+7.702387699269892E-5i,0.0017408591985921085,0.9918465269025931,0.0017661053656833328
6.44373790215236+2.206255146116611E-6i,0.008248396804594087,0.005452626568471637,0.9759963171724823
6.443858789781445+4.6181201700827526E-6i,0.023561529541998753,0.035758908586041534,0.892526401435863
6.444041182017219+8.078088811562452E-6i,0.028962867262952156,0.03431451836979959,0.9062288574056743
6.44438060547904+0.007777856667097128i,0.008057221171252063,8.066577502057262E-5,0.9901049166118835
6.444463583741577+2.1658403452698158E-6i,0.007974790518265364,0.9613249731548212,0.011199052538548183
6.444689815996899+1.5337530835030486E-6i,0.3461317304296142,0.22626563325627666,0.3562084160291435
6.445123625683326+3.0104237252842493E-5i,0.027513331742502586,0.02238787927373243,0.9369051828228581
6.445384684071067+3.9635141803186165E-7i,0.9817104868386396,0.007193176110123508,0.01048886534490202
6.4453963298875765+3.00235096060522E-5i,0.053297812024374905,0.8465382290842982,0.06032851624401354
6.445550630702161+1.939002888246534E-4i,0.008089866705491042,0.9778568120366533,0.004555588665132463
6.445706513898494+1.0719348670516466E-6i,0.5483288224253057,0.031471683759425904,0.41661219700937857
6.445755891989479+1.0281719706608473E-5i,0.09120217917575148,0.7728834818824311,0.054606534929517614
6.445855579886076+2.3401686011823365E-5i,0.09487177162821557,0.8119331118280876,0.04205048379097061
6.446013970755887+0.0068863269008941665i,0.01720948416137891,2.3452374773651397E-4,0.9803474395174409
6.446285347889951+2.2137232156925E-7i,0.4267791545461579,0.002273158135902741,0.5699838558032643
6.4463851237025285+1.5601817966665018E-5i,0.36111154606977436,0.08266903566399018,0.54166913115213
6.446692861888965+1.0656618488992256E-5i,0.1206664409292416,0.016415662355204075,0.8535091632372476
6.446799324102253+0.004813645538301042i,0.026161817380412258,4.6457448976903115E-4,0.9715731545361628
6.44694302810263+1.8541682561816475E-6i,0.7109109375940457,0.022043947585030407,0.2556603927748075
6.4469640452092545+0.006643035598301614i,0.014760028597642942,1.645082042060195E-4,0.9827900100144621
6.447116738842781+1.2236174534102062E-5i,0.0068978791291250206,0.973561217481784,0.012394996867193798
6.447281412442351+5.721557136395319E-7i,0.029336531171188954,0.002214333457655906,0.967085434470749
6.447385026856147+1.8253570371297186E-5i,0.2691392687672975,0.17698963248702845,0.519003545159314
6.447562949335719+2.185687295824178E-5i,0.2771461847522404,0.1386554512407389,0.5552199411641336
6.447686881312932+0.004419112573167616i,0.8304867984791383,0.007443224538319464,0.160796805071553
6.447915537005231+0.004442471379596297i,0.8016589233849418,0.0068000635954435845,0.19017524605329378
6.4479543177212575+2.5314764980465787E-6i,0.013371172832532497,0.0026345504039736035,0.9753774412805468
6.448185887144291+4.4469600941365856E-4i,0.005072015130694352,0.98168343526873,0.004106293072952912
6.448298699982237+8.264836610244194E-7i,0.7095350357728962,0.0020895841415163536,0.287505113142195
6.448399617539744+1.211231581916073E-6i,0.4214050709516142,0.0019419487445766844,0.5754288062719514
6.4484291686303195+0.006589384696223854i,0.07331942220342128,7.158654924725848E-4,0.9229978519938065
6.448671437427676+1.1480686844402232E-5i,0.001742736453115367,0.9874955990412996,0.002558648187385051
6.448743331132177+3.2081431027340973E-6i,0.13517801927901602,0.0797683119264184,0.7176446044596815
6.4488753949763025+4.544654426597775E-6i,0.14275166428785835,0.6257140416196476,0.18554772092521546
6.448969018402742+0.0029990391387971814i,0.01063931160597049,4.5763420042652423E-4,0.9862928743159302
6.449266790903631+2.731501533247403E-6i,0.7871303958381497,0.001924969262182357,0.2079379880316342
6.449349822248654+9.198184062144426E-7i,0.04897704602348851,0.13497997285249444,0.7470640682319947
6.449395632304559+0.0040225331660346175i,0.06008961307431809,8.73461388357949E-4,0.9361379739007429
6.449509479025022+2.8040836761334456E-5i,0.1523059480049373,0.043030384718606714,0.7663620765447886
6.449649532596622+4.1350410245781785E-5i,0.11641249343220701,0.10908139116568695,0.7429494413144451
6.4497015186820645+9.857248329022732E-6i,0.10909154567706278,0.22545055492008484,0.5963290132028591
6.4498810593164935+1.8642635756238357E-6i,0.052221400526132875,0.005540981190589673,0.9389383843165042
6.450399129635805+6.679077054519195E-4i,0.010848703159495689,0.9552306519423228,0.02044044584837307
6.450742352272095+1.4986084801805595E-6i,0.9772150425131336,0.00951696709561205,0.012568000186671873
6.45074594448049+2.4057370015761903E-4i,0.08043234963815543,0.01984643528240759,0.8876882524400198
6.450817092977732+0.0012657784824934802i,0.017607743388361862,0.0012338729125088688,0.9751863127887882
6.451049522154363+0.005368588472494088i,0.6546368218245531,0.0036559863051254388,0.33984950959744964
6.451082060749345+4.290259605032463E-5i,0.23981735623266842,0.2682030822748046,0.4388069871779477
6.451160058354103+2.5534036601219403E-6i,0.915501562638659,0.01913987191685803,0.0639055030270752
6.451237862539094+0.003799754934447638i,0.11081243999956962,8.103303968398798E-4,0.8843981117817334
6.451261789108141+0.0015336485837706632i,0.011639234742280175,0.002013202763212334,0.9802575646463857
6.451376140229207+5.0888632129059395E-5i,0.42990821201830165,0.02993704386944427,0.5307217959378001
6.451457166576217+7.151504778835175E-5i,0.3509934438414652,0.08720911194701095,0.5306505766326811
6.45152792055852+0.002802645647828213i,0.037178313714089826,0.0010500602420841789,0.9562049366754737
6.451622446533073+3.4880564387837495E-5i,0.14531665886429945,0.5939906328791963,0.204428812041939
6.451748961076276+2.4375802967712015E-5i,0.11836391686602124,0.7146651657075686,0.1179190533395628
6.451802058694721+1.5152046370782397E-4i,0.36344159944399557,0.047078229065993606,0.5771028095316455
6.451848105226473+0.001214725173903311i,6.454419591212509E-4,0.9916954326315569,0.0037294539506643643
6.452094092654235+1.5648955691530798E-4i,0.1093939635184988,0.7569563373753079,0.07275115425513096
6.452221579619354+1.3472218546933591E-5i,0.02889754535068915,0.027146724180139258,0.9383617193168449
6.452305479858135+2.8153416805652926E-5i,0.15977459017141055,0.12908595492504796,0.6498785261071052
6.45251793448562+6.901007434513948E-5i,0.10160054959960375,0.08396926809624473,0.7788774529002642
6.45263092875474+5.9184141946564706E-5i,0.04065485845031337,0.019723134439670872,0.9259834660173052
6.452911372263005+2.1231458534894454E-4i,0.15999265781183103,0.5762790259991019,0.2168575559484825
6.452926452607006+1.779128116264491E-5i,0.023219479453585948,0.018942394235662782,0.945638465976129
6.453208097802067+1.783851519181509E-5i,0.20316801898006462,0.016257133867001436,0.7741933875196505
