% Model,Final.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 16 2022, 00:17"
% Table,"Table 1 - Pol, SM_only"
% Eigenfrequency (GHz),zz (1),yz (1),xz (1)
6.453984127616483+0.005138896788653003i,0.8518319692333157,0.0032684124328565944,0.14312960758796725
6.454042017405752+5.819439600681261E-5i,0.2720671819017351,0.4496856853381297,0.2185924609112494
6.454166828945212+0.004897114111343664i,0.00882781697752185,3.605380201184788E-4,0.9887946090898292
6.45444887390463+2.2385762895481065E-5i,0.3116778216721024,0.33713832091085894,0.2949549841658975
6.454630716117061+1.0778982276070366E-4i,0.07384661877347506,0.016109169507833216,0.8990906393663972
6.454801261917948+0.0014487548286291252i,0.00846023181636429,0.9710635918282088,0.008812164236933944
6.454923464630994+1.2909192478376816E-4i,0.004465614202054045,0.0052994726906228804,0.9852604657315112
6.455245961457823+2.899355333973777E-5i,0.2798976708686293,0.020362405991033818,0.6922021245530593
6.455369225359363+0.001643576146895717i,0.0015815846238557414,0.9956190434870102,5.232169934112492E-4
6.455400798642032+2.0664867672096783E-5i,0.6486577353603994,0.0066813611521550735,0.3398832328929095
6.455521609982647+0.004246741703574621i,0.005622224504139903,3.47967002348725E-4,0.9917557516171133
6.455576170340166+3.5045283359597275E-5i,0.22667817591350803,0.016587425707130326,0.749035817529678
6.455672815979964+2.6237280384238054E-5i,0.35152000395551536,0.009319185765339211,0.6339808111566709
6.455808084298182+0.0014342006840480886i,0.0016213281851865486,0.9946989398100368,7.636094324730597E-4
6.4559231791739204+5.898209787337672E-6i,0.5130256262751883,0.050702163887453425,0.4329506446365303
6.455935938591489+0.0019399495188594997i,0.002613761701298165,0.9926538321459533,7.751169584429327E-4
6.455936480074184+5.617028714770114E-5i,0.10277390584009966,0.03439268404201219,0.8532639567703879
6.456038044639379+2.5835353124431874E-7i,0.04192676110804439,0.9419128850635419,0.015106367818232323
6.456092273025616+0.005698275778229134i,0.9201775851578607,0.004428174554817007,0.07378137020470223
6.456262466857474+0.0016100783079402723i,0.008464221705095958,0.9703859225821724,0.009334823075674655
6.4563542546556505+1.2418209416893918E-6i,0.8518400072088071,0.005220192302035519,0.14054188415026556
6.45649740931062+2.953071839853746E-5i,0.15876837484591663,0.10617025723222069,0.7162424712790572
6.456500045301927+0.0015608983049437005i,0.0013182608782113124,0.9954075695367183,8.138597100537451E-4
6.4565836398463405+0.007063578048928034i,0.013838984842009504,4.140541601642228E-4,0.9822994998216494
6.456618004274441+2.353514054774409E-5i,0.1979616254983168,0.4116112611088054,0.35880427777003665
6.456745617481871+3.9167463116321984E-5i,0.07790436347844225,0.1814826283604982,0.7216268730723452
6.4568208092811+3.1191238146661005E-4i,0.0425029973205966,0.7406934965342077,0.19183465543583658
6.4568939569949775+3.6397302371789175E-6i,0.02811858094152102,0.10619649457521792,0.8555376736301934
6.4570822072312914+0.005703266974467533i,0.0070320915563760935,2.350758652041586E-4,0.990081340912226
6.45723521219113+1.8039637222764184E-5i,0.0239862827039395,0.06107188516130018,0.9022688316748262
6.457395233730782+0.002305054630367716i,0.0016129415259046476,0.9937135141346196,5.859630904395119E-4
