% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 2 2022, 00:16"
% Table,"Table 22 - Full_qubit_mode, EPR"
% Eigenfrequency (GHz),p (1)
6.456744745378367+3.897334696416374E-5i,7.950825649781313E-9
6.456817865198138+0.005265332662589967i,2.2885732622936896E-8
6.4568191702712365+2.979213206143914E-4i,1.3662974850853444E-8
6.456892494157747+3.1694254472470496E-6i,3.537410663853855E-8
6.45723180385744+1.8576106614957913E-5i,3.5129360650409534E-8
6.457423023828319+0.0020273528554542375i,3.629613530650681E-8
6.457589103151105+5.165705282092422E-5i,1.6839423087670082E-8
6.4576518192880625+0.0016469125692077733i,1.5913148642224927E-7
6.457779237337832+6.340999486225839E-8i,3.254556474079416E-8
6.457948188299137+1.0454897731472489E-6i,1.5123673317281077E-7
6.458021065028135+4.299791665624136E-6i,1.2233009692259192E-6
6.458100098586794+9.819239474887202E-6i,5.985218849316292E-7
6.458277655729047+4.98641515940768E-6i,6.170001440275504E-9
6.458293215758787+2.404368949629141E-5i,1.798878868735319E-7
6.458487637414925+1.5036842294478666E-5i,3.3322262744554787E-7
6.458590765485911+4.594612957456057E-6i,8.209259232851264E-7
6.458689311269123+1.960435093878888E-6i,2.4448538253157296E-6
6.458695002809869+0.0015544438810217455i,6.519792892023867E-8
6.459186558260674+3.881949465209436E-6i,1.1319335496677254E-7
6.459443340562057+2.2579500811798305E-6i,9.026010783078804E-8
6.45952212244652+1.3843809511813494E-6i,8.43703303225149E-8
6.459635261612447+0.0017952236403098406i,6.638180283915243E-8
6.459690041369683+1.5966369395176283E-6i,3.173949771064244E-6
6.459729251808137+0.0015238642857950723i,8.209783452585096E-8
6.459795959607488+1.357928154298674E-6i,2.6600633359388914E-6
6.4598694371424115+1.9647561156132647E-7i,2.930364732844721E-7
6.459905014202475+8.450807405193961E-6i,9.825066119418649E-9
6.4600423630038115+4.3335017200312E-6i,7.988124838491536E-9
6.460252826085126+1.4753334258423155E-6i,6.979058287452494E-8
6.460403011450531+8.15638781834017E-6i,1.9722338483349843E-8
6.460710234242498+0.001526694073719497i,9.343685651451792E-8
6.46121819759996+1.1743987637832916E-6i,8.171372496632177E-8
6.461265315889579+1.9935408180052127E-6i,2.472740481596076E-8
6.46142601643117+0.0016018461821565336i,1.292237207079235E-8
6.4615616551039325+6.938094919746783E-6i,1.6243112970648702E-8
6.4616125032844725+2.536380507250376E-6i,3.282776632820195E-8
